model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082,0.8523219814241486
Random Forest,0.8211382113821138,0.8387096774193549,0.9176470588235294,0.8764044943820225,0.7913312693498452
XGBoost,0.8130081300813008,0.8522727272727273,0.8823529411764706,0.8670520231213873,0.7758513931888545
Decision Tree,0.7560975609756098,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7143962848297213
